step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-2.001543	-1.998573	-1.996801	0.135127	0.135529	0.135769	0.05216744188219309	2.6337448559670777e-05	0.1355285346508026
240	-2.001324	-1.997820	-1.995344	0.135156	0.135631	0.135967	0.05211089923977852	2.6337448559670777e-05	0.1356295347213745
360	-2.001678	-1.997570	-1.993307	0.135108	0.135665	0.136244	0.052076469920575616	2.6337448559670777e-05	0.1356648951768875
480	-2.002852	-1.997272	-1.991951	0.134950	0.135705	0.136429	0.05205329563468695	2.6337448559670777e-05	0.13570496439933777
600	-2.002486	-1.997147	-1.991206	0.134999	0.135722	0.136531	0.05204480513930321	2.6337448559670777e-05	0.1357211172580719
720	-2.001226	-1.997040	-1.992022	0.135169	0.135737	0.136419	0.05202643293887377	2.6337448559670777e-05	0.1357371062040329
840	-2.001304	-1.996599	-1.991944	0.135159	0.135797	0.136430	0.05199756640940904	2.6337448559670777e-05	0.1357956975698471
960	-2.001378	-1.995879	-1.990519	0.135149	0.135895	0.136624	0.05193169601261616	2.6337448559670777e-05	0.13589392602443695
1080	-2.001688	-1.995253	-1.988539	0.135107	0.135980	0.136895	0.05187844671308994	2.6337448559670777e-05	0.13597871363162994
1200	-2.001571	-1.994753	-1.988515	0.135123	0.136048	0.136899	0.051828444749116895	2.6337448559670777e-05	0.13604748249053955
1320	-2.001115	-1.994212	-1.987833	0.135184	0.136122	0.136992	0.051781822741031644	3.9506172839506166e-05	0.13612060248851776
1440	-2.002452	-1.994359	-1.986658	0.135004	0.136102	0.137153	0.05178930945694447	3.9506172839506166e-05	0.13610151410102844
1560	-2.003804	-1.994261	-1.985612	0.134821	0.136116	0.137297	0.05178236644715071	3.9506172839506166e-05	0.13611485064029694
1680	-2.004321	-1.993672	-1.984846	0.134752	0.136196	0.137402	0.05173391476273537	3.9506172839506166e-05	0.13619476556777954
1800	-2.005314	-1.993048	-1.982641	0.134618	0.136281	0.137705	0.05167308114469051	3.9506172839506166e-05	0.13628096878528595
1920	-2.006413	-1.992757	-1.983005	0.134470	0.136321	0.137655	0.05164383370429278	3.9506172839506166e-05	0.13632120192050934
2040	-2.006860	-1.992205	-1.984276	0.134410	0.136396	0.137480	0.05160004552453756	3.9506172839506166e-05	0.13639578223228455
2160	-2.005572	-1.991672	-1.982817	0.134583	0.136469	0.137681	0.05155232027173042	2.6337448559670777e-05	0.13646851480007172
2280	-2.003666	-1.991063	-1.982151	0.134840	0.136553	0.137773	0.05149232596158981	5.925925925925925e-05	0.13655246794223785
2400	-2.002789	-1.990829	-1.982269	0.134958	0.136585	0.137756	0.05147511139512062	3.9506172839506166e-05	0.13658377528190613
2520	-2.003568	-1.990674	-1.980492	0.134853	0.136606	0.138001	0.051459322683513165	3.9506172839506166e-05	0.13660556077957153
2640	-2.003711	-1.990281	-1.979646	0.134834	0.136660	0.138118	0.051423840969800946	3.9506172839506166e-05	0.1366596817970276
2760	-2.003852	-1.989965	-1.979844	0.134815	0.136704	0.138091	0.0513933427631855	3.9506172839506166e-05	0.1367037445306778
2880	-2.003957	-1.989745	-1.979738	0.134801	0.136734	0.138105	0.05137474965304136	5.925925925925925e-05	0.13673420250415802
3000	-2.004460	-1.990102	-1.979238	0.134733	0.136686	0.138174	0.051404825411736965	3.9506172839506166e-05	0.13668587803840637
3120	-2.005496	-1.989978	-1.979173	0.134594	0.136703	0.138183	0.051389270834624766	3.9506172839506166e-05	0.13670411705970764
3240	-2.007073	-1.990150	-1.978072	0.134381	0.136681	0.138336	0.05140705592930317	3.9506172839506166e-05	0.13668088614940643
3360	-2.007330	-1.990311	-1.978179	0.134347	0.136659	0.138321	0.051419044472277166	3.9506172839506166e-05	0.13665997982025146
3480	-2.007055	-1.990040	-1.976947	0.134384	0.136697	0.138491	0.05139823779463768	5.925925925925925e-05	0.1366974264383316
3600	-2.009458	-1.990040	-1.975734	0.134061	0.136698	0.138659	0.05140361394733191	5.925925925925925e-05	0.13669735193252563
3720	-2.010731	-1.990005	-1.976279	0.133891	0.136704	0.138584	0.05139536689966917	3.9506172839506166e-05	0.13670381903648376
3840	-2.012176	-1.989884	-1.976095	0.133697	0.136722	0.138609	0.051383891329169276	5.925925925925925e-05	0.13672205805778503
3960	-2.013320	-1.989994	-1.975540	0.133545	0.136708	0.138686	0.05139267761260271	5.925925925925925e-05	0.13670821487903595
4080	-2.014628	-1.990071	-1.975641	0.133370	0.136699	0.138672	0.05139556452631951	3.9506172839506166e-05	0.13669981062412262
4200	-2.015568	-1.990174	-1.974905	0.133245	0.136685	0.138775	0.05141388364136219	3.9506172839506166e-05	0.13668495416641235
4320	-2.016145	-1.990327	-1.974078	0.133168	0.136666	0.138889	0.05142704211175442	3.9506172839506166e-05	0.13666516542434692
4440	-2.017026	-1.990492	-1.974169	0.133051	0.136644	0.138877	0.05144034624099732	3.9506172839506166e-05	0.13664422929286957
4560	-2.018227	-1.990281	-1.974126	0.132891	0.136675	0.138883	0.05142003204673529	5.925925925925925e-05	0.13667476177215576
4680	-2.018940	-1.990250	-1.973289	0.132796	0.136680	0.138999	0.0514201270416379	3.9506172839506166e-05	0.13668015599250793
4800	-2.019730	-1.990326	-1.973017	0.132691	0.136671	0.139037	0.05142585802823305	3.9506172839506166e-05	0.1366710662841797
4920	-2.020500	-1.990227	-1.971872	0.132589	0.136687	0.139196	0.0514229005202651	3.9506172839506166e-05	0.13668549060821533
5040	-2.021782	-1.990462	-1.970943	0.132419	0.136656	0.139325	0.051438034139573575	2.6337448559670777e-05	0.13665573298931122
5160	-2.022617	-1.990522	-1.970222	0.132309	0.136649	0.139426	0.05143614169210196	3.9506172839506166e-05	0.13665048778057098
5280	-2.023226	-1.990799	-1.970042	0.132228	0.136612	0.139451	0.0514682549983263	2.6337448559670777e-05	0.13661232590675354
5400	-2.024451	-1.990736	-1.970723	0.132066	0.136623	0.139356	0.05146317053586245	2.6337448559670777e-05	0.1366228312253952
5520	-2.026395	-1.990925	-1.971151	0.131810	0.136599	0.139296	0.05147443693131208	5.925925925925925e-05	0.1365996152162552
5640	-2.026906	-1.991007	-1.970391	0.131743	0.136590	0.139402	0.051484755054116246	3.9506172839506166e-05	0.13659068942070007
5760	-2.027978	-1.991177	-1.969584	0.131601	0.136569	0.139515	0.05150342062115669	5.925925925925925e-05	0.13656888902187347
5880	-2.028002	-1.990775	-1.968689	0.131598	0.136625	0.139640	0.05146754961460829	5.925925925925925e-05	0.13662445545196533
6000	-2.027797	-1.990672	-1.967328	0.131625	0.136641	0.139830	0.05145592857152224	3.9506172839506166e-05	0.13664071261882782
6120	-2.028307	-1.990374	-1.965304	0.131558	0.136682	0.140113	0.05143114402890205	3.9506172839506166e-05	0.13668209314346313
6240	-2.028617	-1.990247	-1.964504	0.131517	0.136701	0.140225	0.05141780860722065	3.9506172839506166e-05	0.1367010623216629
6360	-2.028421	-1.990095	-1.964371	0.131543	0.136723	0.140244	0.05140682440251112	3.9506172839506166e-05	0.13672222197055817
6480	-2.029890	-1.990071	-1.964727	0.131350	0.136727	0.140194	0.051402441971004006	3.9506172839506166e-05	0.13672731816768646
6600	-2.030043	-1.990139	-1.964557	0.131330	0.136720	0.140218	0.0514129038900137	5.925925925925925e-05	0.13671894371509552
6720	-2.030208	-1.990209	-1.963021	0.131308	0.136712	0.140434	0.051408270746469496	3.9506172839506166e-05	0.13671301305294037
6840	-2.030787	-1.990175	-1.963029	0.131232	0.136719	0.140432	0.0514144966378808	5.925925925925925e-05	0.1367189735174179
6960	-2.031893	-1.990402	-1.963452	0.131087	0.136690	0.140373	0.05143588669598102	3.9506172839506166e-05	0.13668930530548096
